path,size
QF_LIA/2019-cmodelsdiff/labyrinth/0125-labyrinth-23-0.smt2,126696368
QF_LIA/2019-cmodelsdiff/labyrinth/0117-labyrinth-23-0.smt2,126591292
QF_LIA/2019-cmodelsdiff/labyrinth/0233-labyrinth-22-0.smt2,110023511
QF_LIA/2019-cmodelsdiff/labyrinth/0216-labyrinth-21-0.smt2,94552589
QF_LIA/2019-cmodelsdiff/labyrinth/0225-labyrinth-21-0.smt2,94475497
QF_LIA/2019-ezsmt/Labyrinth/SCC/0206-labyrinth-20-0.smt2,80976685
QF_LIA/2019-ezsmt/Labyrinth/SCC/0159-labyrinth-20-0.smt2,80941660
QF_LIA/20210219-Dartagnan/ConcurrencySafety-Main/26_stack_cas-O0.smt2,79681248
QF_LIA/20210219-Dartagnan/ConcurrencySafety-Main/29_conditionals_vs-O0.smt2,74351754
QF_LIA/2019-cmodelsdiff/stillLive/0026-still_live-31-1.smt2,73713682
QF_LIA/2019-cmodelsdiff/wireRouting/p20.smt2,49138258
QF_LIA/2019-cmodelsdiff/stillLive/0022-still_live-27-1.smt2,48597188
QF_LIA/2019-ezsmt/Labyrinth/SCC/0084-labyrinth-17-0.smt2,47515685
QF_LIA/2019-ezsmt/Labyrinth/SCC/0100-labyrinth-17-0.smt2,47500454
QF_LIA/2019-ezsmt/Labyrinth/SCC/0092-labyrinth-17-0.smt2,47461846
QF_LIA/2019-cmodelsdiff/labyrinth/0100-labyrinth-17-0.smt2,47319015
QF_LIA/2019-cmodelsdiff/labyrinth/0092-labyrinth-17-0.smt2,47280407
QF_LIA/20210219-Dartagnan/ConcurrencySafety-Main/39_rand_lock_p0_vs-O0.smt2,41860446
QF_LIA/2019-ezsmt/Labyrinth/SCC/0150-labyrinth-16-0.smt2,38894712
QF_LIA/2019-ezsmt/Labyrinth/SCC/0110-labyrinth-16-0.smt2,38892121
QF_LIA/2019-cmodelsdiff/labyrinth/0150-labyrinth-16-0.smt2,38733925
QF_LIA/2019-cmodelsdiff/labyrinth/0110-labyrinth-16-0.smt2,38731334
QF_LIA/miplib2003/stp3d.sat.smt2,37885407
QF_LIA/2019-cmodelsdiff/wireRouting/p15.smt2,34451399
QF_LIA/20210219-Dartagnan/ConcurrencySafety-Main/03_incdec-O0.smt2,32322531
QF_LIA/20220307-SMPT/FamilyReunion-PT-L00400M0040C020P020G001/RF-03.smt2,30488707
QF_LIA/2019-cmodelsdiff/stillLive/0018-still_live-23-1.smt2,30478625
QF_LIA/20220307-SMPT/FamilyReunion-PT-L00400M0040C020P020G001/RF-07.smt2,30329486
QF_LIA/20220307-SMPT/FamilyReunion-PT-L00400M0040C020P020G001/RC-00.smt2,30158143
QF_LIA/20220307-SMPT/FamilyReunion-PT-L00400M0040C020P020G001/RC-07.smt2,30057606
QF_LIA/20220307-SMPT/FamilyReunion-PT-L00400M0040C020P020G001/RC-06.smt2,29968931
QF_LIA/20220307-SMPT/FamilyReunion-PT-L00400M0040C020P020G001/RF-12.smt2,29804209
QF_LIA/20220307-SMPT/FamilyReunion-PT-L00400M0040C020P020G001/RF-11.smt2,29804104
QF_LIA/20220307-SMPT/FamilyReunion-PT-L00400M0040C020P020G001/RC-10.smt2,29804075
QF_LIA/20220307-SMPT/FamilyReunion-PT-L00400M0040C020P020G001/RC-08.smt2,29804064
QF_LIA/20220307-SMPT/FamilyReunion-PT-L00400M0040C020P020G001/RC-15.smt2,29804057
QF_LIA/20220307-SMPT/FamilyReunion-PT-L00400M0040C020P020G001/RF-15.smt2,29804053
QF_LIA/20220307-SMPT/FamilyReunion-PT-L00400M0040C020P020G001/RC-09.smt2,29804006
QF_LIA/20220307-SMPT/FamilyReunion-PT-L00400M0040C020P020G001/RF-13.smt2,29803990
QF_LIA/20220307-SMPT/FamilyReunion-PT-L00400M0040C020P020G001/RF-09.smt2,29803977
QF_LIA/20220307-SMPT/FamilyReunion-PT-L00400M0040C020P020G001/RF-14.smt2,29803962
QF_LIA/2019-cmodelsdiff/stillLive/0017-still_live-22-1.smt2,26925634
QF_LIA/2019-ezsmt/Labyrinth/SCC/0143-labyrinth-14-0.smt2,24845211
QF_LIA/2019-cmodelsdiff/labyrinth/0143-labyrinth-14-0.smt2,24722291
QF_LIA/2019-cmodelsdiff/stillLive/0016-still_live-21-1.smt2,23564127
QF_LIA/2019-ezsmt/Labyrinth/SCC/0075-labyrinth-13-0.smt2,19352486
QF_LIA/2019-ezsmt/Labyrinth/SCC/0059-labyrinth-13-0.smt2,19344070
QF_LIA/2019-ezsmt/Labyrinth/SCC/0165-labyrinth-13-0.smt2,19305632
QF_LIA/20220307-SMPT/SharedMemory-PT-000200/RF-00.smt2,19156295
QF_LIA/20220307-SMPT/SharedMemory-PT-000200/RF-06.smt2,18076596
QF_LIA/pb2010/normalized-j12056_10-unsat.smt2,17785015
QF_LIA/20210219-Dartagnan/ReachSafety-Loops/css2003-O0.smt2,17269765
QF_LIA/20210219-Dartagnan/ConcurrencySafety-Main/32_pthread5_vs-O0.smt2,17009308
QF_LIA/20220307-SMPT/SharedMemory-PT-000200/RC-03.smt2,16516062
QF_LIA/20220307-SMPT/SharedMemory-PT-000200/RC-01.smt2,16509199
QF_LIA/2019-cmodelsdiff/stillLive/0013-still_live-18-1.smt2,15414643
QF_LIA/20220307-SMPT/SharedMemory-PT-000200/RC-04.smt2,15011103
QF_LIA/20220307-SMPT/SharedMemory-PT-000200/RF-01.smt2,15009947
QF_LIA/20220307-SMPT/SharedMemory-PT-000200/RC-02.smt2,15004990
QF_LIA/20220307-SMPT/SharedMemory-PT-000200/RF-07.smt2,15001553
QF_LIA/20220307-SMPT/SharedMemory-PT-000200/RC-14.smt2,14998545
QF_LIA/20220307-SMPT/SharedMemory-PT-000200/RF-14.smt2,14998466
QF_LIA/20220307-SMPT/SharedMemory-PT-000200/RF-08.smt2,14998460
QF_LIA/20220307-SMPT/SharedMemory-PT-000200/RC-09.smt2,14998399
QF_LIA/20220307-SMPT/SharedMemory-PT-000200/RF-09.smt2,14998397
QF_LIA/20220307-SMPT/SharedMemory-PT-000200/RC-08.smt2,14998305
QF_LIA/20220307-SMPT/SharedMemory-PT-000200/RC-11.smt2,14998299
QF_LIA/20220307-SMPT/SharedMemory-PT-000200/RC-15.smt2,14998298
QF_LIA/20220307-SMPT/SharedMemory-PT-000200/RC-10.smt2,14998297
QF_LIA/20220307-SMPT/SharedMemory-PT-000200/RC-13.smt2,14998297
QF_LIA/2019-cmodelsdiff/labyrinth/0132-labyrinth-12-0.smt2,14682893
QF_LIA/2019-cmodelsdiff/labyrinth/0051-labyrinth-12-0.smt2,14668199
QF_LIA/2019-cmodelsdiff/labyrinth/0011-labyrinth-12-0.smt2,14608175
QF_LIA/20210219-Dartagnan/ConcurrencySafety-Main/qrcu-1-O0.smt2,14375750
QF_LIA/20210219-Dartagnan/ConcurrencySafety-Main/fib_bench_longer-1-O0.smt2,13914430
QF_LIA/20210219-Dartagnan/ConcurrencySafety-Main/38_rand_cas_vs_concur-O0.smt2,13089774
QF_LIA/20210219-Dartagnan/ConcurrencySafety-Main/fk2012-O0.smt2,12833322
QF_LIA/20231117-c_inference/90_90_87_12_unsat.smt2,12413562
QF_LIA/20231117-c_inference/90_90_87_5_unsat.smt2,12401704
QF_LIA/pb2010/normalized-j12037_7-sat.smt2,11776778
QF_LIA/pb2010/normalized-j12052_5-unsat.smt2,11281067
QF_LIA/miplib2003/fast0507.sat.smt2,11149704
QF_LIA/2019-ezsmt/Labyrinth/SCC/0018-labyrinth-11-0.smt2,10976375
QF_LIA/2019-ezsmt/Labyrinth/SCC/0003-labyrinth-11-0.smt2,10947582
QF_LIA/pb2010/normalized-j12058_4-sat.smt2,10832202
QF_LIA/2019-cmodelsdiff/stillLive/0010-still_live-15-1.smt2,9412445
QF_LIA/pb2010/normalized-j12032_3-unsat.smt2,9340267
